Town,County,Model_flat
Barrow_in_Furness,Lancashire,CE_flat
Bedford,Bedfordshire,CE_flat
Birkenhead,Cheshire,CE_flat
Birmingham,Warwickshire,CE_flat
Blackburn,Lancashire,CE_flat
Bolton,Lancashire,CE_flat
Bradford,Yorkshire,CE_flat
Bristol,Gloucestershire,SE_flat
Burnley,Lancashire,CE_flat
Burton_on_Trent,Staffordshire,CE_flat
Cardiff,Glamorganshire,SE_flat
Carlisle,Cumberland,NE_flat
Castleford,Yorkshire,CE_flat
Rochester,Kent,SE_flat
Chester,Cheshire,CE_flat
Coventry,Warwickshire,CE_flat
Crewe,Cheshire,CE_flat
Croydon,Surrey,SE_flat
Darlington,Durham,NE_flat
Derby,Derbyshire,CE_flat
Dover,Kent,SE_flat
Gateshead,Durham,NE_flat
Gloucester,Gloucestershire,SE_flat
Grimsby,Lincolnshire,CE_flat
Halifax,Yorkshire,CE_flat
Huddersfield,Yorkshire,CE_flat
Kingston,upon,Hull,Yorkshire,CE_flat
Ipswich,Suffolk,EA_flat
Wallsend,Northumberland,CE_flat
Keighley,Yorkshire,CE_flat
Kidderminster,Worcestershire,CE_flat
Leeds,Yorkshire,CE_flat
Leicester,Leicestershire,CE_flat
Lincoln,Lincolnshire,CE_flat
Liverpool,Lancashire,CE_flat
London,London,SE_flat
Luton,Bedfordshire,SE_flat
Macclesfield,Cheshire,CE_flat
Manchester,Lancashire,CE_flat
Merthyr,Tydvil,Glamorganshire,SE_flat
Middlesbrough,Yorkshire,CE_flat
Newcastle_upon_Tyne,Northumberland,NE_flat
Newport,Monmmouthshire,SE_flat
Northampton,Northamptonshire,CE_flat
Norwich,Norfolk,EA_flat
Nottingham,Nottinghamshire,CE_flat
Oldham,Lancashire,CE_flat
Peterborough,Northamptonshire,EA_flat
Plymouth,Devon,SE_flat
Portsmouth,Hampshire,SE_flat
Preston,Lancashire,CE_flat
Reading,Berkshire,SE_flat
Rochdale,Lancashire,CE_flat
Salford,Lancashire,CE_flat
Sheerness,Kent,SE_flat
Sheffield,Yorkshire,CE_flat
Southampton,Hampshire,SE_flat
Tynemouth,Northumberland,NE_flat
Stockport,Cheshire,CE_flat
Stockton_on_Tees,Durham,NE_flat
Stoke_on_Trent,Staffordshire,CE_flat
Sunderland,Durham,NE_flat
Swansea,Glamorganshire,SE_flat
Swindon,Wiltshire,SE_flat
Taunton,Somerset,SE_flat
Walsall,Staffordshire,CE_flat
Warrington,Lancashire,CE_flat
Wigan,Lancashire,CE_flat
Wolverhampton,Staffordshire,CE_flat
Worcester,Worcestershire,SE_flat
York,Yorkshire,CE_flat
